year,avg,min,max,rain,price
199601,-0.9,-5.7,4.8,90.6,6206
199602,-0.7,-5.9,5.3,114.2,6304
199603,4.6,-0.3,10,264,6388
199604,10,3.9,16.2,166.4,6406
199605,16.8,10.8,23.3,139,6374
199606,20.8,17.4,25.1,546,6277
199607,23.9,20.3,28.5,745.4,6095
199608,25.2,21.3,30.1,333.2,5649
199609,20.4,15.4,26.8,94.1,5522
199610,14.2,8.8,20.8,194.5,4999
199611,7.4,2.7,12.6,126,4580
199612,1.9,-3.3,8.3,120.3,4448
199701,-1.4,-6.5,4.3,79.8,4353
199702,1.4,-4.4,7.8,81.8,4257
199703,6.7,1.1,13,150.4,4259
199704,12.2,6.2,18.5,277,4099
199705,16.9,11.8,22.5,431.5,4019
199706,21.7,16.7,27.4,480.5,4014
199707,24.5,21,29,543,4031
199708,25.1,21.4,29.9,614.5,4096
199709,19.5,14.8,25.4,322.4,4243
199710,13.6,7.3,20.4,52.3,4066
199711,9,4.1,14.8,305.5,4052
199712,2.6,-1.8,7.7,175.5,4053
199801,-0.1,-4.4,4.6,252.5,4064
199802,3.5,-1.4,9.1,157.9,4035
199803,7.3,1.7,13.4,151.5,4023
199804,14.7,10,20.3,370.5,4026
199805,17.8,12.5,23.5,271,4017
199806,20,16.3,24.2,583.5,4100
199807,24.1,21.2,27.7,770.8,4232
199808,24.8,21.7,28.8,1237.8,4468
199809,21.7,17.4,27.1,618.4,6577
199810,16.3,11.7,22,185.5,6377
199811,7.9,2.6,14.1,131.7,6389
199812,3,-2,9.1,80.1,6353
199901,0.4,-4.5,6,112.8,6473
199902,1.7,-3.4,7.1,100.7,6473
199903,6.4,0.9,12.2,238.5,6473
199904,12.6,6.7,18.9,164.4,6494
199905,16.8,11,22.8,292,6515
199906,21.4,16.7,26.7,391,6216
199907,23.6,20.4,27.7,1115.5,5684
199908,24.3,21,28.5,748.5,5469
199909,22.1,18.6,26.7,598.9,4964
199910,14,9.2,19.9,290,4993
199911,7.9,3,13.9,108.4,4992
199912,1.4,-3.4,6.9,107.6,4948
200001,-0.1,-4.2,4.4,143.1,4970
200002,-0.4,-5.5,5,89.5,4970
200003,6.1,0.1,12.6,83,4970
200004,11.4,5.3,17.8,81.1,5013
200005,16.8,11.3,23,162,5020
200006,21.4,16.9,26.7,408.9,5106
200007,25.3,21.7,30.1,515.5,5105
200008,25.2,21.9,29.7,748.4,4947
200009,19.5,15.8,24.2,571.8,5304
200010,14.4,9.5,20.3,213.5,5720
200011,7.1,2.3,13,128,5720
200012,1.9,-3.2,7.7,44.5,5720
200101,-1.8,-6.3,2.8,165,5720
200102,1.1,-3.7,6.5,117.8,5720
200103,5.5,0.1,11.5,67.3,5789
200104,12.5,5.7,19.5,203,5820
200105,18,12.7,24,162.5,5870
200106,21.4,17.5,26.3,586.5,6605
200107,25.3,21.7,29.9,698.4,6846
200108,25.1,21.1,30.2,252.5,6140
200109,20.6,15.6,26.5,368,6600
200110,15.4,11,21.1,264.8,6593
200111,6.9,1.7,13.2,151.9,6580
200112,0.7,-3.7,5.9,166,6580
200201,1.3,-2.9,5.9,131,6580
